transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
4474,01/01/2022 01:02:00,P0078,2,americanexpress,374283838511012,F,17.81,2,19.29
4475,01/01/2022 04:14:00,P0339,6,mastercard,5108753509567660,F,19.62,1,21.39
4476,01/01/2022 12:47:00,P0657,7,mastercard,5108752601718070,F,16.73,3,18.09
4477,01/01/2022 16:16:00,P0173,3,mastercard,5048377075581680,F,0.93,2,1.59
4478,01/01/2022 19:10:00,P0482,2,visa,4041596984989,F,2.75,3,3.89
4479,01/01/2022 20:17:00,P0304,6,americanexpress,374283118636323,F,9.19,1,10.69
4480,01/01/2022 20:49:00,P0332,4,americanexpress,374288239402687,F,16.62,1,18.09
4481,01/01/2022 21:15:00,P0652,4,mastercard,5108751243446270,F,0.87,2,1.59
4482,01/01/2022 23:19:00,P0109,4,mastercard,5048379097959870,F,2.82,1,3.99
4483,02/01/2022 02:58:00,P0710,8,mastercard,5048379732938290,F,4.36,2,4.99
4484,02/01/2022 03:35:00,P0411,3,mastercard,5048377195987260,F,13.46,2,14.79
4485,02/01/2022 09:40:00,P0218,6,mastercard,5048371732173690,F,8.4,1,9.39
4486,02/01/2022 11:24:00,P0293,5,mastercard,5048374681813470,F,18.19,3,19.89
4487,02/01/2022 12:24:00,P0099,10,mastercard,5048370329633380,F,5.98,4,7.29
4488,02/01/2022 12:25:00,P0178,6,visa,4041591970512,F,15.78,1,17.59
4489,02/01/2022 12:54:00,P0374,4,mastercard,5108751550839720,F,6.65,1,7.99
4490,02/01/2022 13:23:00,P0023,4,visa,4041594094930,F,17.79,3,19.19
4491,02/01/2022 13:35:00,P0470,9,visa,4041590996959980,F,18.14,3,19.89
4492,02/01/2022 14:33:00,P0417,5,mastercard,5108757765129520,T,16.73,1,18.09
4493,02/01/2022 15:28:00,P0441,6,americanexpress,374288273892850,F,1.98,1,2.49
4494,02/01/2022 16:34:00,P0199,9,americanexpress,374283631538253,F,6.42,2,7.79
4495,02/01/2022 16:57:00,P0601,7,visa,4041596661445790,F,4.54,1,4.99
4496,02/01/2022 19:59:00,P0094,9,mastercard,5108751474109710,F,13.35,2,14.79
4497,02/01/2022 22:06:00,P0507,1,visa,4041593018362490,F,8.17,1,8.89
4498,02/01/2022 22:35:00,P0414,6,mastercard,5108759444990530,F,10.22,2,11.49
4499,02/01/2022 23:49:00,P0128,9,mastercard,5048376515438850,F,14.97,1,16.49
4500,03/01/2022 00:05:00,P0076,8,visa,4041598715183,T,6.89,2,8.09
4501,03/01/2022 04:49:00,P0440,7,visa,4041598015022,F,8.88,3,10.19
4502,03/01/2022 11:09:00,P0352,1,visa,4041598407039,F,2.04,4,2.59
4503,03/01/2022 11:56:00,P0703,7,americanexpress,374288754742566,F,17.42,4,18.49
4504,03/01/2022 16:48:00,P0355,3,visa,4041596873927,F,6.54,1,7.89
4505,03/01/2022 20:20:00,P0714,6,visa,4041597696971680,T,0.66,3,1.49
4506,03/01/2022 20:59:00,P0390,8,visa,4041594879199,F,14.31,3,15.19
4507,03/01/2022 22:09:00,P0280,4,visa,4041597064435,F,6.26,2,7.59
4508,03/01/2022 22:26:00,P0695,6,mastercard,5108751469596800,F,3.74,3,4.79
4509,04/01/2022 01:35:00,P0576,8,mastercard,5108754786809310,F,4.25,2,4.99
4510,04/01/2022 03:34:00,P0339,4,mastercard,5108750671404740,F,19.62,5,21.39
4511,04/01/2022 05:01:00,P0254,10,mastercard,5108753211100250,F,11.44,3,12.49
4512,04/01/2022 05:57:00,P0213,7,americanexpress,374283447196098,F,11.19,1,11.99
4513,04/01/2022 05:59:00,P0553,6,mastercard,5048373513615570,F,6.79,3,7.99
4514,04/01/2022 08:39:00,P0637,7,americanexpress,374288577279705,F,15.32,3,17.09
4515,04/01/2022 14:47:00,P0336,9,visa,4041591506274,T,8.17,1,8.89
4516,04/01/2022 16:23:00,P0397,5,visa,4041598625408550,F,13.67,1,14.89
4517,04/01/2022 19:33:00,P0292,5,americanexpress,374288967725770,F,10.49,1,11.49
4518,04/01/2022 19:49:00,P0156,8,americanexpress,374288936811206,F,11.37,1,12.39
4519,04/01/2022 20:06:00,P0319,4,mastercard,5048373439423810,F,3.51,4,4.69
4520,05/01/2022 02:58:00,P0497,7,americanexpress,374288015489163,F,19.75,3,21.39
4521,05/01/2022 11:17:00,P0020,10,mastercard,5108756054505140,T,19.41,1,21.29
4522,05/01/2022 12:33:00,P0466,6,mastercard,5108755082381080,F,14.01,6,14.89
4523,05/01/2022 20:43:00,P0486,7,mastercard,5048371956399660,F,6.52,1,7.89
4524,06/01/2022 03:58:00,P0483,6,mastercard,5108754506821540,F,17.52,4,18.69
4525,06/01/2022 06:31:00,P0575,8,americanexpress,374288999997215,F,2.81,1,3.99
4526,06/01/2022 06:54:00,P0170,11,visa,4041590071262,F,8.13,1,8.89
4527,06/01/2022 07:53:00,P0237,6,americanexpress,374288114851503,F,10.43,2,11.49
4528,06/01/2022 11:36:00,P0547,8,visa,4041595625632030,T,20,2,21.49
4529,06/01/2022 11:41:00,P0456,8,visa,4041597280700,F,18.35,3,20.19
4530,06/01/2022 15:08:00,P0115,7,mastercard,5108752199773280,F,5.84,3,7.09
4531,06/01/2022 17:22:00,P0339,6,mastercard,5108754512281430,F,19.62,2,21.39
4532,06/01/2022 21:08:00,P0446,6,americanexpress,374288852384717,F,16.57,1,18.09
4533,06/01/2022 23:57:00,P0287,4,visa,4041591583224,T,13.95,1,14.89
4534,07/01/2022 01:20:00,P0517,4,americanexpress,374283639515873,F,5.11,1,5.79
4535,07/01/2022 02:38:00,P0499,6,americanexpress,374288395157562,F,16.3,5,17.99
4536,07/01/2022 03:02:00,P0599,3,americanexpress,374288058414417,F,13.54,2,14.79
4537,07/01/2022 04:59:00,P0225,4,americanexpress,374288323392133,F,7.79,1,8.29
4538,07/01/2022 06:29:00,P0343,3,mastercard,5108752025531880,F,3.66,2,4.79
4539,07/01/2022 11:10:00,P0353,3,mastercard,5048371654522760,F,15.1,1,16.69
4540,07/01/2022 12:07:00,P0363,5,americanexpress,374283347490591,F,14.85,2,16.29
4541,07/01/2022 12:15:00,P0245,7,mastercard,5108750386965630,F,4.19,1,4.89
4542,07/01/2022 13:35:00,P0534,7,americanexpress,374288331962489,F,7.63,2,8.29
4543,07/01/2022 15:18:00,P0466,4,mastercard,5048376402718770,T,14.01,1,14.89
4544,07/01/2022 18:50:00,P0712,3,visa,4041593517113280,F,17.46,4,18.59
4545,07/01/2022 20:34:00,P0212,5,americanexpress,374283034282244,F,1.86,1,2.29
4546,07/01/2022 21:26:00,P0393,6,visa,4041595255001,F,10.94,1,11.59
4547,07/01/2022 22:46:00,P0442,4,americanexpress,374288051926599,F,14.89,1,16.39
4548,07/01/2022 23:00:00,P0132,4,,5048376693219600,F,14.45,2,15.49
4549,07/01/2022 23:18:00,P0477,4,visa,4041599476603,F,2.19,2,2.89
4550,07/01/2022 23:30:00,P0353,0,americanexpress,374283631275203,F,15.1,1,16.69
4551,08/01/2022 01:50:00,P0358,7,visa,4041594524951290,T,8.86,2,10.19
4552,08/01/2022 06:14:00,P0032,4,visa,4041596502508810,F,5.52,2,6.59
4553,08/01/2022 06:32:00,P0605,9,visa,4041594711129,F,4.77,2,5.09
4554,08/01/2022 10:31:00,P0450,7,visa,4041599944410580,F,3.76,2,4.79
4555,08/01/2022 11:10:00,P0339,4,mastercard,5048373576034950,T,19.62,4,21.39
4556,08/01/2022 18:46:00,P0673,7,visa,4041596439699550,F,1.5,3,1.69
4557,08/01/2022 19:42:00,P0715,7,mastercard,5048379987513180,F,7.6,1,8.29
4558,09/01/2022 00:54:00,P0657,4,mastercard,5108759933906210,F,16.73,5,18.09
4559,09/01/2022 01:42:00,P0574,5,americanexpress,374283995801669,F,9.21,4,10.69
4560,09/01/2022 08:49:00,P0290,5,mastercard,5108755186816620,F,18.11,1,19.79
4561,09/01/2022 08:54:00,P0440,7,visa,4041592327159,F,8.88,2,10.19
4562,09/01/2022 09:15:00,P0412,5,,3561917816554060,F,16.11,6,17.89
4563,09/01/2022 09:30:00,P0625,6,visa,4041590824731260,F,5.15,3,5.89
4564,09/01/2022 12:46:00,P0495,1,americanexpress,374288159446235,F,4.23,3,4.99
4565,09/01/2022 14:06:00,P0401,6,mastercard,5048374844838760,F,16.69,4,18.09
4566,09/01/2022 14:35:00,P0406,7,mastercard,5108750275730510,F,7.19,1,8.19
4567,09/01/2022 17:10:00,P0258,6,mastercard,5108757893277080,F,16.65,4,18.09
4568,10/01/2022 00:15:00,P0255,6,visa,4041599482531610,F,18.85,2,20.79
4569,10/01/2022 04:18:00,P0397,8,americanexpress,374283779712041,F,13.67,4,14.89
4570,10/01/2022 05:21:00,P0366,6,visa,4041595073639390,T,13.27,2,14.69
4571,10/01/2022 05:58:00,P0232,4,americanexpress,374283742472475,F,1.66,3,1.89
4572,10/01/2022 06:48:00,P0002,1,mastercard,5108755840893310,F,3.31,3,4.49
4573,10/01/2022 07:01:00,P0486,5,americanexpress,374288880492573,T,6.52,1,7.89
4574,10/01/2022 08:34:00,P0724,6,mastercard,5048376883777820,F,17.83,1,19.29
4575,10/01/2022 09:12:00,P0072,4,americanexpress,374283390606077,T,13.26,4,14.69
4576,10/01/2022 15:47:00,P0478,5,americanexpress,374288052209581,T,18.67,3,20.59
4577,10/01/2022 16:04:00,P0467,6,americanexpress,374283490987351,F,4.66,5,4.99
4578,10/01/2022 17:35:00,P0396,10,visa,4041593491897870,F,4.18,4,4.89
4579,10/01/2022 18:05:00,P0258,7,visa,4041590299538230,T,16.65,1,18.09
4580,10/01/2022 21:42:00,P0458,7,mastercard,5048374682919330,F,9,3,10.39
4581,10/01/2022 22:21:00,P0413,6,mastercard,5108756211058050,F,7.35,1,8.19
4582,11/01/2022 01:31:00,P0450,10,americanexpress,374288473552031,F,3.76,3,4.79
4583,11/01/2022 03:45:00,P0177,8,mastercard,5108756289164340,F,7.63,5,8.29
4584,11/01/2022 05:01:00,P0527,10,americanexpress,374288275755535,F,16.63,1,18.09
4585,11/01/2022 05:28:00,P0590,7,visa,4041597616391300,T,8.1,2,8.79
4586,11/01/2022 07:03:00,P0422,2,americanexpress,374288617561203,F,4.3,1,4.99
4587,11/01/2022 07:51:00,P0579,3,mastercard,5048378085497610,F,19.5,2,21.29
4588,11/01/2022 14:48:00,P0496,5,americanexpress,374288252535678,F,13.53,1,14.79
4589,11/01/2022 15:46:00,P0676,5,visa,4041594585200650,F,4.72,2,4.99
