transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
1,01/01/2021 01:35:00,P0410,8,mastercard,5108751003991960,F,2.95,5,4.09
2,01/01/2021 04:47:00,P0560,5,visa,4041599799749,F,1.4,3,1.69
3,01/01/2021 13:20:00,P0353,5,visa,4041590972519,T,15.1,3,16.69
4,01/01/2021 16:49:00,P0411,10,mastercard,5048370011791670,F,13.46,1,14.79
5,01/01/2021 19:43:00,P0485,6,visa,4041597721372,F,19.85,2,21.39
6,01/01/2021 20:50:00,P0622,4,mastercard,5108751065239700,F,13.87,1,14.89
7,01/01/2021 21:22:00,P0527,5,americanexpress,374283920722238,F,16.63,3,18.09
8,01/01/2021 21:48:00,P0482,10,americanexpress,374283230369324,F,2.75,1,3.89
9,01/01/2021 23:52:00,P0223,8,mastercard,5108754788181270,F,6.71,1,7.99
10,02/01/2021 03:31:00,P0124,5,americanexpress,374288654735363,F,0.87,1,1.59
11,02/01/2021 04:08:00,P0010,6,mastercard,5048375115615070,F,3.3,1,4.49
12,02/01/2021 10:13:00,P0455,6,visa,4041598992071,F,1.63,1,1.79
13,02/01/2021 11:57:00,P0422,5,visa,4041595222399,F,4.03,3,4.99
14,02/01/2021 12:57:00,P0570,6,visa,4041599414893,T,2.32,3,3.19
15,02/01/2021 12:58:00,P0240,6,mastercard,5048376956963060,F,1.27,1,1.69
16,02/01/2021 13:27:00,P0424,6,mastercard,5108756464366760,F,6.61,1,7.89
17,02/01/2021 13:56:00,P0406,2,visa,4041598529844360,F,7.19,2,8.19
18,02/01/2021 14:08:00,P0302,7,americanexpress,374288461558693,F,5.98,1,7.29
19,02/01/2021 15:06:00,P0457,6,americanexpress,374288420393877,F,2.02,2,2.59
20,02/01/2021 16:01:00,P0465,6,visa,4041599235043030,F,9.61,3,11.09
21,02/01/2021 17:07:00,P0539,5,visa,4041599865240060,F,8.13,2,8.89
22,02/01/2021 17:30:00,P0217,6,mastercard,5048379871389370,F,14.96,1,16.49
23,02/01/2021 20:32:00,P0085,6,mastercard,5048372332168690,F,14.86,3,16.29
24,02/01/2021 22:39:00,P0165,6,visa,4041590498091760,F,0.94,2,1.59
25,02/01/2021 23:08:00,P0256,7,americanexpress,374288473756475,F,2.08,2,2.69
26,03/01/2021 00:22:00,P0268,5,visa,4041596511307780,F,11.93,2,13.39
27,03/01/2021 00:38:00,P0296,5,americanexpress,374283853556199,T,2.96,1,4.09
28,03/01/2021 05:22:00,P0057,5,americanexpress,374288819660274,F,17.28,4,18.19
29,03/01/2021 11:42:00,P0291,3,mastercard,5108759315601660,F,14.13,1,14.89
30,03/01/2021 12:29:00,P0123,5,visa,4041597341213,F,7.7,1,8.29
31,03/01/2021 17:21:00,P0295,5,americanexpress,374283507381200,F,1.43,2,1.69
32,03/01/2021 20:53:00,P0394,6,americanexpress,374288516470597,F,8.44,1,9.49
33,03/01/2021 21:32:00,P0328,6,mastercard,5048378988811850,T,3.18,3,4.39
34,03/01/2021 22:42:00,P0357,7,americanexpress,374283369362199,F,3.34,1,4.49
35,03/01/2021 22:59:00,P0024,5,visa,4041595095472,F,6.97,1,8.09
36,04/01/2021 02:08:00,P0556,3,americanexpress,374288050353068,F,5.5,3,6.49
37,04/01/2021 04:07:00,P0264,6,americanexpress,374288075215631,F,4.11,2,4.89
38,04/01/2021 05:34:00,P0556,5,mastercard,5048371639717140,F,5.05,5,6.49
39,04/01/2021 06:30:00,P0283,8,mastercard,5108759003048360,F,1.68,1,1.89
40,04/01/2021 06:32:00,P0085,8,americanexpress,374288879289899,F,14.86,3,16.29
41,04/01/2021 09:12:00,P0275,7,americanexpress,374283045804705,F,9.6,1,10.49
42,04/01/2021 15:20:00,P0374,4,mastercard,5048371804476340,F,6.65,3,7.99
43,04/01/2021 16:56:00,P0305,6,mastercard,5108756453776770,F,8.74,1,9.99
44,04/01/2021 20:06:00,P0345,9,mastercard,5048372915589280,F,7.18,2,8.19
45,04/01/2021 20:22:00,P0381,7,visa,4041599569191,F,5.05,1,5.69
46,04/01/2021 20:39:00,P0255,7,americanexpress,374283109614313,F,18.85,3,20.79
47,05/01/2021 03:31:00,P0427,4,mastercard,5048370013491090,F,12.94,2,14.59
48,05/01/2021 11:50:00,P0270,8,visa,4041590914047030,F,6.97,1,8.09
49,05/01/2021 13:06:00,P0386,10,americanexpress,374283336439351,F,19.79,2,21.39
50,05/01/2021 21:16:00,P0316,8,visa,4041596181693,F,1.81,1,2.19
51,06/01/2021 04:31:00,P0164,4,americanexpress,374283275524171,F,18.98,2,20.99
52,06/01/2021 07:04:00,P0021,8,visa,4041599781618290,T,14.13,2,14.89
53,06/01/2021 07:27:00,P0024,5,visa,4041595095472,F,6.97,1,8.09
54,06/01/2021 08:26:00,P0556,3,americanexpress,374288050353068,F,5.5,3,6.49
55,06/01/2021 12:09:00,P0264,6,americanexpress,374288075215631,F,4.11,2,4.89
56,06/01/2021 12:14:00,P0556,5,mastercard,5048371639717140,F,5.05,5,6.49
57,06/01/2021 15:41:00,P0115,7,mastercard,5108752199773280,F,5.84,3,7.09
58,06/01/2021 17:55:00,P0339,6,mastercard,5108754512281430,F,19.62,2,21.39
59,06/01/2021 21:41:00,P0446,6,americanexpress,374288852384717,F,16.57,1,18.09
60,07/01/2021 00:30:00,P0287,4,visa,4041591583224,T,13.95,1,14.89
61,07/01/2021 01:53:00,P0517,4,americanexpress,374283639515873,F,5.11,1,5.79
62,07/01/2021 03:11:00,P0499,6,americanexpress,374288395157562,F,16.3,5,17.99
63,07/01/2021 03:35:00,P0599,3,americanexpress,374288058414417,F,13.54,2,14.79
64,07/01/2021 05:32:00,P0225,4,americanexpress,374288323392133,F,7.79,1,8.29
65,07/01/2021 07:02:00,P0343,3,mastercard,5108752025531880,F,3.66,2,4.79
66,07/01/2021 11:43:00,P0353,3,mastercard,5048371654522760,F,15.1,1,16.69
67,07/01/2021 12:40:00,P0363,5,americanexpress,374283347490591,F,14.85,2,16.29
68,07/01/2021 12:48:00,P0245,7,mastercard,5108750386965630,F,4.19,1,4.89
69,07/01/2021 14:08:00,P0534,7,americanexpress,374288331962489,F,7.63,2,8.29
70,07/01/2021 15:51:00,P0466,4,mastercard,5048376402718770,T,14.01,1,14.89
71,07/01/2021 19:23:00,P0712,3,visa,4041593517113280,F,17.46,4,18.59
72,07/01/2021 21:07:00,P0212,5,americanexpress,374283034282244,F,1.86,1,2.29
73,07/01/2021 21:59:00,P0393,6,visa,4041595255001,F,10.94,1,11.59
74,07/01/2021 23:19:00,P0442,4,americanexpress,374288051926599,F,14.89,1,16.39
75,07/01/2021 23:33:00,P0132,4,,5048376693219600,F,14.45,2,15.49
76,07/01/2021 23:51:00,P0477,4,visa,4041599476603,F,2.19,2,2.89
77,08/01/2021 00:03:00,P0353,0,americanexpress,374283631275203,F,15.1,1,16.69
78,08/01/2021 02:23:00,P0358,7,visa,4041594524951290,T,8.86,2,10.19
79,08/01/2021 06:47:00,P0032,4,visa,4041596502508810,F,5.52,2,6.59
80,08/01/2021 07:05:00,P0605,9,visa,4041594711129,F,4.77,2,5.09
81,08/01/2021 11:04:00,P0450,7,visa,4041599944410580,F,3.76,2,4.79
82,08/01/2021 11:43:00,P0339,4,mastercard,5048373576034950,T,19.62,4,21.39
83,08/01/2021 19:19:00,P0673,7,visa,4041596439699550,F,1.5,3,1.69
84,08/01/2021 20:15:00,P0715,7,mastercard,5048379987513180,F,7.6,1,8.29
85,09/01/2021 01:27:00,P0657,4,mastercard,5108759933906210,F,16.73,5,18.09
86,09/01/2021 02:15:00,P0574,5,americanexpress,374283995801669,F,9.21,4,10.69
87,09/01/2021 09:22:00,P0290,5,mastercard,5108755186816620,F,18.11,1,19.79
88,09/01/2021 09:27:00,P0440,7,visa,4041592327159,F,8.88,2,10.19
89,09/01/2021 09:48:00,P0412,5,,3561917816554060,F,16.11,6,17.89
90,09/01/2021 10:03:00,P0625,6,visa,4041590824731260,F,5.15,3,5.89
91,09/01/2021 13:19:00,P0495,1,americanexpress,374288159446235,F,4.23,3,4.99
92,09/01/2021 14:39:00,P0401,6,mastercard,5048374844838760,F,16.69,4,18.09
93,09/01/2021 15:08:00,P0406,7,mastercard,5108750275730510,F,7.19,1,8.19
94,09/01/2021 17:43:00,P0258,6,mastercard,5108757893277080,F,16.65,4,18.09
95,10/01/2021 00:48:00,P0255,6,visa,4041599482531610,F,18.85,2,20.79
96,10/01/2021 04:51:00,P0397,8,americanexpress,374283779712041,F,13.67,4,14.89
97,10/01/2021 05:54:00,P0366,6,visa,4041595073639390,T,13.27,2,14.69
98,10/01/2021 06:31:00,P0232,4,americanexpress,374283742472475,F,1.66,3,1.89
99,10/01/2021 07:21:00,P0002,1,mastercard,5108755840893310,F,3.31,3,4.49
100,10/01/2021 07:34:00,P0486,5,americanexpress,374288880492573,T,6.52,1,7.89
101,10/01/2021 09:07:00,P0724,6,mastercard,5048376883777820,F,17.83,1,19.29
102,10/01/2021 09:45:00,P0072,4,americanexpress,374283390606077,T,13.26,4,14.69
103,10/01/2021 16:20:00,P0478,5,americanexpress,374288052209581,T,18.67,3,20.59
104,10/01/2021 16:37:00,P0467,6,americanexpress,374283490987351,F,4.66,5,4.99
105,10/01/2021 18:08:00,P0396,10,visa,4041593491897870,F,4.18,4,4.89
106,10/01/2021 18:38:00,P0258,7,visa,4041590299538230,T,16.65,1,18.09
107,10/01/2021 22:15:00,P0458,7,mastercard,5048374682919330,F,9,3,10.39
108,10/01/2021 22:54:00,P0413,6,mastercard,5108756211058050,F,7.35,1,8.19
109,11/01/2021 02:04:00,P0450,10,americanexpress,374288473552031,F,3.76,3,4.79
110,11/01/2021 04:18:00,P0177,8,mastercard,5108756289164340,F,7.63,5,8.29
111,11/01/2021 05:34:00,P0527,10,americanexpress,374288275755535,F,16.63,1,18.09
112,11/01/2021 06:01:00,P0590,7,visa,4041597616391300,T,8.1,2,8.79
113,11/01/2021 07:36:00,P0422,2,americanexpress,374288617561203,F,4.3,1,4.99
114,11/01/2021 08:24:00,P0579,3,mastercard,5048378085497610,F,19.5,2,21.29
115,11/01/2021 15:21:00,P0496,5,americanexpress,374288252535678,F,13.53,1,14.79
116,11/01/2021 16:19:00,P0676,5,visa,4041594585200650,F,4.72,2,4.99
117,11/01/2021 18:16:00,P0581,5,americanexpress,374288247054785,F,0.51,1,1.49
118,11/01/2021 19:06:00,P0263,8,visa,4041590684460,F,2.27,2,3.09
119,11/01/2021 22:06:00,P0606,7,americanexpress,374283233571348,F,14.31,1,15.19
120,11/01/2021 22:49:00,P0019,6,,3549515679656170,F,8.58,1,9.69
121,12/01/2021 02:30:00,P0278,7,americanexpress,374283703555250,F,13.24,3,14.69
122,12/01/2021 05:04:00,P0506,9,,6394485060583270,F,10.54,1,11.59
123,12/01/2021 05:05:00,P0170,7,visa,4041590773990570,F,8.13,2,8.89
124,12/01/2021 05:23:00,P0154,7,americanexpress,374288304662447,F,6.06,2,7.39
125,12/01/2021 08:43:00,P0223,8,mastercard,5108754788181270,F,6.71,1,7.99
126,12/01/2021 08:58:00,P0124,5,americanexpress,374288654735363,F,0.87,1,1.59
127,12/01/2021 09:25:00,P0010,6,mastercard,5048375115615070,F,3.3,1,4.49
128,12/01/2021 09:31:00,P0455,6,visa,4041598992071,F,1.63,1,1.79
129,12/01/2021 10:34:00,P0422,5,visa,4041595222399,F,4.03,3,4.99
130,12/01/2021 11:11:00,P0570,6,visa,4041599414893,T,2.32,3,3.19
131,12/01/2021 14:01:00,P0240,6,mastercard,5048376956963060,F,1.27,1,1.69
132,12/01/2021 15:54:00,P0424,6,mastercard,5108756464366760,F,6.61,1,7.89
133,12/01/2021 16:03:00,P0406,2,visa,4041598529844360,F,7.19,2,8.19
134,12/01/2021 16:23:00,P0302,7,americanexpress,374288461558693,F,5.98,1,7.29
135,12/01/2021 18:32:00,P0457,6,americanexpress,374288420393877,F,2.02,2,2.59
136,12/01/2021 21:24:00,P0465,6,visa,4041599235043030,F,9.61,3,11.09
137,12/01/2021 21:58:00,P0539,5,visa,4041599865240060,F,8.13,2,8.89
138,13/01/2021 1:09:00,P0217,6,mastercard,5048379871389370,F,14.96,1,16.49
139,13/01/2021 2:48:00,P0085,6,mastercard,5048372332168690,F,14.86,3,16.29
140,13/01/2021 8:08:00,P0165,6,visa,4041590498091760,F,0.94,2,1.59
141,13/01/2021 9:13:00,P0256,7,americanexpress,374288473756475,F,2.08,2,2.69
142,13/01/2021 9:28:00,P0268,5,visa,4041596511307780,F,11.93,2,13.39
143,13/01/2021 9:40:00,P0296,5,americanexpress,374283853556199,T,2.96,1,4.09
144,13/01/2021 10:51:00,P0057,5,americanexpress,374288819660274,F,17.28,4,18.19
145,13/01/2021 11:36:00,P0291,3,mastercard,5108759315601660,F,14.13,1,14.89
146,13/01/2021 13:57:00,P0123,5,visa,4041597341213,F,7.7,1,8.29
147,13/01/2021 15:50:00,P0295,5,americanexpress,374283507381200,F,1.43,2,1.69
148,13/01/2021 22:37:00,P0394,6,americanexpress,374288516470597,F,8.44,1,9.49
149,13/01/2021 23:33:00,P0328,6,mastercard,5048378988811850,T,3.18,3,4.39
150,13/01/2021 23:34:00,P0357,7,americanexpress,374283369362199,F,3.34,1,4.49
151,14/01/2021 0:28:00,P0024,5,visa,4041595095472,F,6.97,1,8.09
152,14/01/2021 2:34:00,P0556,3,americanexpress,374288050353068,F,5.5,3,6.49
153,14/01/2021 2:54:00,P0264,6,americanexpress,374288075215631,F,4.11,2,4.89
154,14/01/2021 6:56:00,P0556,5,mastercard,5048371639717140,F,5.05,5,6.49
155,14/01/2021 10:36:00,P0283,8,mastercard,5108759003048360,F,1.68,1,1.89
156,14/01/2021 12:37:00,P0085,8,americanexpress,374288879289899,F,14.86,3,16.29
157,14/01/2021 13:58:00,P0275,7,americanexpress,374283045804705,F,9.6,1,10.49
158,14/01/2021 18:01:00,P0374,4,mastercard,5048371804476340,F,6.65,3,7.99
159,14/01/2021 18:18:00,P0305,6,mastercard,5108756453776770,F,8.74,1,9.99
160,14/01/2021 18:52:00,P0345,9,mastercard,5048372915589280,F,7.18,2,8.19
161,14/01/2021 19:03:00,P0381,7,visa,4041599569191,F,5.05,1,5.69
162,14/01/2021 19:39:00,P0255,7,americanexpress,374283109614313,F,18.85,3,20.79
163,14/01/2021 23:00:00,P0427,4,mastercard,5048370013491090,F,12.94,2,14.59
164,15/01/2021 1:21:00,P0270,8,visa,4041590914047030,F,6.97,1,8.09
165,15/01/2021 3:52:00,P0386,10,americanexpress,374283336439351,F,19.79,2,21.39
166,15/01/2021 6:54:00,P0316,8,visa,4041596181693,F,1.81,1,2.19
167,15/01/2021 7:27:00,P0164,4,americanexpress,374283275524171,F,18.98,2,20.99
168,15/01/2021 15:02:00,P0021,8,visa,4041599781618290,T,14.13,2,14.89
169,15/01/2021 16:46:00,P0024,5,visa,4041595095472,F,6.97,1,8.09
170,15/01/2021 18:24:00,P0556,3,americanexpress,374288050353068,F,5.5,3,6.49
171,15/01/2021 20:53:00,P0264,6,americanexpress,374288075215631,F,4.11,2,4.89
172,16/01/2021 0:00:00,P0556,5,mastercard,5048371639717140,F,5.05,5,6.49
173,16/01/2021 0:10:00,P0010,6,mastercard,5048375115615070,F,3.3,1,4.49
174,16/01/2021 1:28:00,P0455,6,visa,4041598992071,F,1.63,1,1.79
175,16/01/2021 4:45:00,P0422,5,visa,4041595222399,F,4.03,3,4.99
176,16/01/2021 9:32:00,P0570,6,visa,4041599414893,T,2.32,3,3.19
177,16/01/2021 12:29:00,P0240,6,mastercard,5048376956963060,F,1.27,1,1.69
178,16/01/2021 12:42:00,P0424,6,mastercard,5108756464366760,F,6.61,1,7.89
179,16/01/2021 15:29:00,P0406,2,visa,4041598529844360,F,7.19,2,8.19
180,16/01/2021 20:27:00,P0302,7,americanexpress,374288461558693,F,5.98,1,7.29
181,16/01/2021 21:53:00,P0457,6,americanexpress,374288420393877,F,2.02,2,2.59
182,17/01/2021 0:14:00,P0141,6,mastercard,5108752369105060,F,14.75,1,16.09
183,17/01/2021 3:06:00,P0587,5,americanexpress,374288380127935,F,13.88,1,14.89
184,17/01/2021 4:11:00,P0529,6,americanexpress,374283193885654,F,17.59,1,18.79
185,17/01/2021 5:17:00,P0533,8,,490320512571319,F,1.5,1,1.69
186,17/01/2021 6:24:00,P0438,3,mastercard,5108752342737890,F,5.21,1,5.99
187,17/01/2021 15:06:00,P0643,7,americanexpress,374288094674370,F,17.61,1,18.89
188,17/01/2021 20:38:00,P0185,5,americanexpress,374283247231632,F,12.05,2,13.59
189,17/01/2021 20:53:00,P0035,5,mastercard,5108752737684220,F,11.76,1,13.09
190,17/01/2021 22:08:00,P0414,8,americanexpress,374288865596471,F,10.22,2,11.49
191,18/01/2021 0:10:00,P0393,7,mastercard,5048373158881240,F,10.94,1,11.59
192,18/01/2021 0:38:00,P0332,6,mastercard,5108754416012950,T,16.62,3,18.09
193,18/01/2021 2:49:00,P0541,5,visa,4041595501852810,F,2.8,4,3.89
194,18/01/2021 3:09:00,P0069,9,mastercard,5108758883880870,F,5.23,1,5.99
195,18/01/2021 10:19:00,P0467,6,mastercard,5108758143626070,F,4.66,2,4.99
196,18/01/2021 13:20:00,P0493,4,mastercard,5108753280264710,F,18.02,1,19.69
197,18/01/2021 15:01:00,P0402,6,mastercard,5108751065562910,F,11.61,4,12.79
198,18/01/2021 16:11:00,P0408,5,americanexpress,374288619461568,F,8.24,1,9.09
199,18/01/2021 16:40:00,P0505,9,visa,4041591265350320,F,3.97,1,4.89
200,18/01/2021 18:24:00,P0286,4,visa,4041592049175,F,10.87,1,11.59
201,18/01/2021 19:27:00,P0310,3,visa,4041594581548,F,14.48,2,15.59
202,19/01/2021 0:07:00,P0215,5,mastercard,5108754366998160,F,0.81,1,1.59
203,19/01/2021 0:38:00,P0456,2,americanexpress,374288879125242,F,18.35,1,20.19
204,19/01/2021 0:50:00,P0372,7,visa,4041595972249930,F,5.75,1,6.89
205,19/01/2021 6:47:00,P0024,5,visa,4041595095472,F,6.97,1,8.09
206,19/01/2021 9:24:00,P0556,3,americanexpress,374288050353068,F,5.5,3,6.49
207,19/01/2021 10:48:00,P0264,6,americanexpress,374288075215631,F,4.11,2,4.89
208,19/01/2021 11:28:00,P0556,5,mastercard,5048371639717140,F,5.05,5,6.49
209,19/01/2021 17:02:00,P0010,6,mastercard,5048375115615070,F,3.3,1,4.49
210,19/01/2021 17:04:00,P0455,6,visa,4041598992071,F,1.63,1,1.79
211,19/01/2021 17:21:00,P0422,5,visa,4041595222399,F,4.03,3,4.99
212,19/01/2021 19:00:00,P0570,6,visa,4041599414893,T,2.32,3,3.19
213,19/01/2021 19:01:00,P0240,6,mastercard,5048376956963060,F,1.27,1,1.69
214,19/01/2021 23:26:00,P0424,6,mastercard,5108756464366760,F,6.61,1,7.89
215,20/01/2021 2:25:00,P0406,2,visa,4041598529844360,F,7.19,2,8.19
216,20/01/2021 3:54:00,P0302,7,americanexpress,374288461558693,F,5.98,1,7.29
217,20/01/2021 4:10:00,P0457,6,americanexpress,374288420393877,F,2.02,2,2.59
218,20/01/2021 5:14:00,P0549,5,mastercard,5048374469877020,F,16.85,1,18.19
219,20/01/2021 7:37:00,P0325,10,americanexpress,374283938821378,F,5.35,1,6.29
220,20/01/2021 9:33:00,P0683,8,visa,4041592604409,F,11,1,11.59
221,20/01/2021 10:47:00,P0475,4,visa,4041593530181,F,8.08,1,8.79
222,20/01/2021 12:09:00,P0397,3,visa,4041591311236310,T,13.67,,14.89
223,20/01/2021 13:30:00,P0318,6,visa,4041593642028,F,6.76,1,7.99
224,20/01/2021 15:39:00,P0708,4,mastercard,5108750916517090,F,17.79,5,19.19
225,20/01/2021 17:53:00,P0747,6,americanexpress,374288697097185,F,14.79,1,16.19
226,20/01/2021 19:35:00,P0187,2,mastercard,5048370867534620,F,4.17,1,4.89
227,20/01/2021 23:19:00,P0319,5,visa,4041591635461,F,3.51,1,4.69
228,20/01/2021 23:34:00,P0038,4,mastercard,5108750865399260,F,4.71,2,4.99
229,20/01/2021 23:45:00,P0056,5,mastercard,5048377372987380,F,5.95,1,7.19
230,20/01/2021 23:59:00,P0284,6,mastercard,5108759519483280,F,1.03,1,1.59
231,21/01/2021 0:05:00,P0637,5,mastercard,5048371011862420,F,15.32,2,17.09
232,21/01/2021 1:00:00,P0693,5,,372301380468902,F,15.07,1,16.69
233,21/01/2021 2:20:00,P0247,2,visa,4041598690402,F,13.58,2,14.79
